,Braid,Epoch,Step,Reward,Action_list
0,[ 1 -2 -2 -2  1  1  1 -2 -2  1],4,98,-2.58,"[8, 8, 8, 8, 8, 8, 8, 8, 6, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 10, 8, 0, 8, 10, 8, 10, 8, 8, 8, 8, 8, 8, 8, 8, 10, 8, 8, 10, 8, 1, 8, 6, 6, 9, 9, 0, 8, 1, 8, 8, 8, 8, 8, 10, 8, 1, 8, 8, 8, 8, 8, 8, 8, 1, 8, 8, 4, 8, 9, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 4, 8, 8, 9, 8, 8, 9, 8, 8, 8, 8, 8, 8, 8, 10, 8, 8, 8, 9, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 6, 8, 6, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, 8, 8, 0]"
0,[-1 -2 -3  1  2 -1  2  3 -2  3  2],5,3,-0.03,"[0, 8, 8, 8, 8, 8, 8, 8, 8, 9, 8, 8, 8, 8, 9, 8, 8, 8, 8, 8, 4, 8, 8, 8, 8, 8, 8, 10, 8, 8, 8, 10, 8, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 6, 8, 8, 8, 8, 8, 8, 6, 8, 8, 8, 1, 0, 8, 8, 6, 8, 8, 8, 8, 8, 10, 8, 8, 8, 8, 4, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 4, 8, 8, 8, 8, 8, 8, 8, 8, 8, 6, 6, 8, 8, 8, 8, 4, 8, 8, 8, 8, 8, 0]"
0,[-1 -2 -3  1  2 -1  2  3 -2  3  2],5,8,0.51,"[8, 8, 9, 8, 8, 0, 8, 1, 8, 10, 8, 8, 8, 8, 10, 8, 8, 8, 8, 8, 8, 6, 10, 10, 10, 8, 8, 0, 8, 8, 8, 8, 4, 8, 8, 8, 8, 8, 6, 8, 8, 10, 8, 8, 8, 8, 9, 8, 0]"
0,[-1 -2 -3  1  2 -1  2  3 -2  3  2],5,31,-0.1,"[8, 8, 9, 0, 8, 8, 8, 8, 8, 8, 8, 8, 4, 6, 9, 8, 6, 9, 1, 8, 8, 10, 8, 10, 8, 8, 8, 8, 10, 8, 8, 8, 8, 8, 10, 8, 8, 8, 8, 8, 10, 8, 8, 8, 8, 8, 6, 8, 8, 8, 8, 8, 10, 8, 8, 8, 8, 8, 8, 9, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 1, 8, 8, 8, 0, 8, 8, 8, 8, 10, 8, 8, 8, 8, 8, 8, 8, 8, 10, 8, 8, 9, 8, 8, 8, 4, 8, 4, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0]"
0,[-1 -2 -3  1  2 -1  2  3 -2  3  2],5,32,0.19,"[8, 8, 8, 8, 10, 8, 8, 8, 8, 8, 8, 6, 8, 6, 8, 8, 8, 8, 10, 8, 6, 8, 8, 8, 8, 4, 8, 10, 8, 8, 8, 9, 8, 8, 8, 9, 10, 8, 8, 8, 10, 4, 8, 8, 8, 8, 10, 8, 8, 8, 0, 8, 8, 8, 8, 8, 8, 8, 8, 1, 8, 8, 8, 8, 0, 10, 8, 9, 8, 8, 1, 8, 8, 8, 8, 8, 8, 6, 9, 8, 0]"
0,[-1 -2 -3  1  2 -1  2  3 -2  3  2],5,35,0.09,"[6, 8, 8, 8, 8, 8, 6, 8, 0, 8, 8, 8, 8, 8, 1, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 10, 8, 10, 8, 8, 6, 8, 6, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 10, 10, 8, 8, 8, 6, 9, 8, 8, 8, 8, 8, 8, 6, 8, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 10, 0]"
0,[-1 -2 -3  1  2 -1  2  3 -2  3  2],5,43,-0.24,"[10, 8, 8, 8, 8, 10, 8, 8, 4, 9, 9, 8, 8, 8, 10, 8, 8, 8, 8, 10, 8, 6, 8, 0, 8, 8, 8, 8, 8, 6, 8, 8, 6, 8, 8, 8, 8, 8, 8, 8, 8, 4, 10, 8, 8, 10, 8, 8, 8, 8, 6, 4, 8, 8, 8, 9, 1, 8, 8, 8, 8, 8, 8, 8, 8, 6, 8, 9, 10, 8, 8, 6, 8, 10, 8, 6, 8, 8, 6, 9, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, 8, 8, 6, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 10, 8, 8, 8, 8, 8, 8, 6, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0]"
0,[-1 -2 -3  1  2 -1  2  3 -2  3  2],5,44,-0.51,"[0, 8, 9, 8, 10, 8, 10, 8, 10, 8, 6, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 9, 4, 9, 8, 10, 8, 8, 10, 8, 4, 8, 4, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 4, 10, 8, 6, 8, 8, 8, 8, 8, 8, 9, 10, 8, 8, 8, 8, 6, 8, 8, 8, 8, 8, 8, 8, 10, 8, 4, 8, 8, 8, 8, 8, 8, 10, 1, 8, 8, 8, 9, 8, 8, 8, 8, 8, 8, 10, 8, 8, 8, 8, 10, 8, 8, 8, 0, 9, 8, 8, 4, 8, 8, 8, 4, 8, 10, 8, 8, 8, 9, 8, 10, 8, 8, 8, 8, 8, 4, 8, 8, 8, 8, 8, 10, 8, 8, 8, 8, 8, 6, 10, 1, 6, 8, 8, 8, 9, 8, 1, 8, 0]"
0,[-1 -2 -3  1  2 -1  2  3 -2  3  2],5,57,-0.1,"[6, 8, 6, 8, 8, 10, 6, 8, 8, 4, 8, 8, 8, 8, 8, 8, 8, 0, 8, 8, 6, 6, 8, 9, 10, 8, 6, 8, 8, 6, 8, 10, 8, 4, 6, 8, 8, 8, 8, 8, 6, 8, 8, 8, 8, 8, 10, 8, 8, 8, 8, 8, 6, 4, 6, 8, 8, 8, 8, 8, 8, 8, 8, 8, 10, 10, 8, 8, 8, 8, 8, 8, 1, 8, 8, 8, 8, 8, 8, 10, 8, 0, 8, 8, 8, 8, 9, 6, 4, 8, 8, 10, 8, 4, 8, 8, 8, 8, 8, 8, 1, 8, 8, 8, 8, 6, 9, 8, 8, 0]"
0,[-1 -2 -3  1  2 -1  2  3 -2  3  2],5,81,0.08,"[9, 8, 8, 6, 8, 10, 8, 8, 8, 8, 4, 8, 8, 8, 8, 8, 8, 8, 10, 8, 8, 8, 8, 8, 8, 8, 8, 10, 10, 8, 8, 8, 0, 8, 8, 1, 8, 8, 8, 8, 6, 8, 8, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 9, 8, 10, 8, 10, 8, 8, 8, 0, 8, 8, 4, 8, 9, 8, 8, 1, 8, 8, 8, 6, 8, 8, 10, 9, 8, 8, 8, 8, 8, 8, 6, 8, 8, 0]"
0,[-1 -2 -3  1  2 -1  2  3 -2  3  2],5,91,-0.02,"[6, 8, 8, 8, 0, 8, 8, 8, 10, 8, 6, 4, 8, 8, 8, 8, 8, 8, 8, 8, 4, 8, 8, 8, 10, 6, 6, 8, 8, 6, 6, 8, 8, 8, 1, 8, 10, 8, 9, 10, 4, 8, 8, 8, 8, 8, 4, 10, 8, 8, 6, 8, 8, 8, 8, 0, 6, 8, 8, 9, 8, 8, 8, 8, 8, 10, 8, 6, 8, 8, 6, 8, 8, 8, 8, 8, 8, 8, 8, 8, 6, 8, 8, 6, 8, 8, 8, 6, 8, 8, 6, 4, 1, 8, 8, 9, 8, 8, 8, 8, 8, 0]"
