,Braid,Epoch,Step,Reward,Action_list
0,[ 3 -2 -3 -3  2 -1 -2],0,16,0.12,"[8, 8, 8, 8, 10, 10, 8, 10, 8, 10, 10, 8, 10, 8, 10, 8, 8, 8, 8, 8, 1, 10, 10, 8, 8, 8, 8, 8, 8, 9, 8, 8, 8, 8, 10, 10, 8, 10, 10, 8, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, 8, 6, 8, 8, 8, 8, 4, 8, 4, 8, 8, 8, 8, 8, 8, 0, 8, 8, 4, 8, 6, 8, 8, 8, 10, 8, 8, 4, 8, 8, 8, 8, 8, 8, 0]"
0,[ 3 -2 -3 -3  2 -1 -2],0,66,-0.83,"[8, 8, 8, 8, 8, 10, 8, 8, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 4, 8, 8, 8, 4, 8, 9, 8, 8, 8, 8, 8, 8, 1, 8, 10, 6, 8, 8, 8, 0, 4, 8, 8, 8, 9, 8, 8, 8, 8, 6, 8, 8, 10, 4, 8, 10, 10, 8, 8, 8, 8, 6, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 6, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 10, 8, 8, 8, 8, 4, 8, 8, 8, 8, 8, 10, 8, 8, 8, 8, 10, 8, 10, 8, 0, 8, 8, 8, 8, 8, 8, 8, 8, 6, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 6, 8, 8, 10, 8, 10, 10, 10, 6, 8, 6, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 10, 8, 8, 8, 10, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0]"
0,[ 3 -2 -3 -3  2 -1 -2],0,67,-0.04,"[8, 8, 8, 8, 8, 8, 8, 1, 10, 10, 8, 0, 8, 8, 8, 9, 8, 8, 8, 8, 6, 8, 8, 8, 8, 8, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 10, 6, 8, 8, 8, 8, 8, 8, 8, 8, 8, 10, 10, 8, 8, 10, 8, 8, 4, 8, 8, 8, 8, 10, 8, 8, 8, 8, 8, 10, 8, 6, 8, 8, 8, 8, 8, 8, 0, 8, 8, 8, 8, 8, 8, 8, 8, 9, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0]"
0,[ 3 -2 -3 -3  2 -1 -2],0,79,0.01,"[9, 1, 9, 8, 8, 10, 8, 8, 9, 4, 8, 8, 8, 8, 8, 0, 10, 8, 8, 8, 10, 8, 8, 8, 10, 8, 8, 8, 8, 6, 8, 6, 6, 1, 10, 8, 8, 8, 8, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 10, 6, 8, 8, 8, 8, 8, 1, 8, 8, 8, 9, 8, 8, 0, 8, 10, 8, 8, 8, 8, 8, 10, 8, 8, 8, 8, 8, 8, 8, 1, 8, 8, 6, 8, 8, 8, 8, 8, 10, 8, 8, 4, 8, 8, 0]"
0,[ 3 -2 -3 -3  2 -1 -2],0,87,0.56,"[8, 10, 8, 8, 6, 8, 8, 8, 10, 10, 8, 4, 1, 8, 8, 8, 8, 8, 9, 8, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 9, 4, 8, 8, 6, 1, 0, 8, 8, 10, 0]"
0,[ 3 -2 -3 -3  2 -1 -2],0,91,-0.0,"[8, 8, 8, 8, 10, 10, 8, 8, 8, 8, 8, 6, 8, 1, 10, 8, 8, 8, 0, 8, 8, 8, 8, 8, 8, 8, 1, 8, 10, 8, 10, 8, 6, 8, 10, 8, 6, 9, 8, 8, 8, 8, 8, 8, 10, 4, 8, 8, 8, 8, 8, 8, 8, 8, 8, 10, 8, 8, 1, 8, 10, 4, 8, 8, 8, 8, 8, 8, 8, 9, 1, 8, 8, 8, 10, 8, 0, 10, 8, 8, 8, 8, 10, 10, 8, 8, 8, 8, 8, 10, 1, 8, 8, 8, 8, 8, 6, 8, 8, 0]"
0,[ 3 -2 -3 -3  2 -1 -2],1,18,0.71,"[10, 8, 8, 8, 8, 8, 8, 1, 8, 8, 8, 8, 0, 0, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0]"
0,[ 3 -2 -3 -3  2 -1 -2],1,19,0.48,"[8, 8, 8, 8, 8, 8, 10, 8, 10, 8, 8, 9, 8, 10, 1, 0, 10, 8, 8, 8, 8, 8, 6, 8, 8, 8, 8, 8, 8, 8, 8, 8, 10, 10, 1, 0, 8, 8, 1, 8, 8, 8, 8, 8, 8, 10, 8, 8, 8, 8, 8, 0]"
0,[ 3 -2 -3 -3  2 -1 -2],1,23,-0.42,"[10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 10, 8, 4, 9, 8, 8, 8, 8, 10, 8, 8, 1, 8, 8, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 10, 8, 8, 10, 8, 8, 8, 8, 0, 8, 8, 10, 8, 1, 8, 8, 10, 8, 8, 8, 8, 6, 8, 8, 8, 8, 10, 8, 0, 8, 10, 8, 8, 8, 8, 8, 8, 8, 10, 8, 8, 9, 8, 8, 8, 8, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 10, 8, 8, 4, 8, 8, 8, 8, 4, 8, 8, 8, 8, 1, 8, 10, 8, 8, 9, 9, 8, 8, 8, 10, 8, 8, 8, 4, 8, 8, 0]"
0,[ 3 -2 -3 -3  2 -1 -2],1,26,0.06,"[8, 8, 8, 8, 6, 8, 4, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 4, 6, 9, 8, 8, 8, 8, 8, 8, 8, 8, 6, 8, 10, 8, 8, 8, 8, 1, 9, 6, 8, 8, 8, 10, 8, 8, 8, 8, 8, 10, 8, 8, 10, 0, 8, 8, 8, 6, 8, 9, 8, 10, 8, 10, 4, 8, 10, 8, 10, 8, 8, 10, 8, 4, 8, 10, 8, 9, 10, 8, 8, 8, 8, 0, 8, 8, 8, 8, 8, 8, 8, 10, 8, 8, 10, 0]"
