,Braid,Epoch,Step,Reward,Action_list
0,[ 2 -3 -1 -2 -2  1 -3  2 -3 -2  3 -1  2],0,97,-0.71,"[1, 8, 8, 8, 8, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 10, 8, 8, 10, 5, 8, 2, 8, 8, 9, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 9, 8, 8, 8, 8, 8, 8, 8, 1, 8, 8, 8, 8, 8, 8, 8, 4, 8, 8, 8, 8, 9, 10, 10, 8, 8, 5, 8, 8, 10, 8, 6, 8, 8, 5, 8, 8, 0, 8, 8, 8, 5, 4, 8, 8, 8, 2, 8, 8, 8, 8, 8, 10, 8, 10, 5, 8, 8, 8, 8, 8, 8, 8, 8, 8, 6, 8, 8, 7, 0, 8, 8, 8, 8, 8, 8, 8, 6, 2, 8, 8, 8, 8, 8, 10, 8, 8, 8, 2, 8, 7, 8, 8, 8, 8, 10, 8, 8, 6, 8, 9, 10, 8, 8, 7, 8, 8, 8, 8, 0]"
0,[ 2 -3 -1 -2 -2  1 -3  2 -3 -2  3 -1  2],1,55,-0.79,"[8, 8, 8, 2, 8, 8, 8, 8, 8, 8, 10, 8, 8, 5, 8, 8, 8, 4, 6, 8, 8, 8, 8, 8, 7, 2, 8, 8, 10, 5, 8, 8, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 9, 8, 5, 8, 4, 8, 8, 8, 8, 8, 6, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 6, 7, 8, 8, 8, 8, 8, 8, 6, 8, 8, 8, 8, 6, 8, 10, 8, 10, 9, 10, 6, 7, 8, 1, 8, 8, 8, 8, 6, 8, 10, 8, 8, 8, 8, 8, 8, 6, 8, 5, 8, 8, 8, 5, 0, 8, 8, 8, 8, 6, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 6, 8, 8, 8, 0, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 10, 8, 5, 8, 8, 8, 8, 8, 2, 8, 8, 8, 8, 8, 8, 0]"
0,[ 2 -3 -1 -2 -2  1 -3  2 -3 -2  3 -1  2],2,14,-0.69,"[8, 8, 8, 8, 8, 8, 2, 8, 8, 5, 8, 8, 8, 8, 8, 8, 8, 8, 10, 8, 8, 8, 5, 5, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 10, 8, 10, 8, 6, 8, 8, 8, 8, 8, 8, 8, 8, 8, 10, 5, 8, 8, 5, 8, 8, 8, 8, 8, 8, 8, 8, 8, 10, 8, 8, 8, 6, 8, 8, 8, 1, 8, 7, 8, 9, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 10, 8, 8, 6, 7, 8, 8, 0, 8, 9, 8, 8, 8, 8, 8, 8, 8, 8, 5, 8, 8, 10, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 5, 8, 8, 8, 0, 8, 8, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 6, 8, 8, 8, 8, 8, 8, 8, 8, 8, 5, 8, 0]"
0,[ 2 -3 -1 -2 -2  1 -3  2 -3 -2  3 -1  2],3,13,-0.99,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 1, 8, 6, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 9, 8, 0, 8, 8, 10, 8, 8, 8, 8, 8, 9, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 6, 8, 8, 8, 8, 5, 8, 8, 6, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 6, 7, 2, 8, 8, 8, 8, 8, 8, 8, 8, 6, 7, 5, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 1, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 2, 8, 10, 8, 8, 8, 8, 8, 8, 8, 8, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 6, 8, 8, 8, 8, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 5, 8, 0, 8, 8, 8, 8, 8, 8, 8, 1, 8, 8, 8, 8, 8, 8, 8, 8, 8, 10, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 5, 8, 8, 8, 10, 8, 0]"
