,Braid,Epoch,Step,Reward,Action_list
0,[-2  1  2 -1],0,0,0.65,"[9, 9, 3, 9, 3, 9, 3, 2, 3, 9, 3, 3, 5, 8, 3, 8, 0, 8, 8, 8, 2, 8, 8, 3, 3, 3, 2, 8, 5, 9, 9, 3, 3, 3, 0]"
0,[-2  1  2 -1],0,1,0.58,"[4, 8, 8, 8, 8, 8, 8, 9, 10, 9, 2, 8, 3, 9, 9, 3, 5, 8, 3, 9, 8, 3, 2, 8, 3, 2, 8, 5, 3, 3, 3, 3, 3, 3, 0, 3, 3, 1, 8, 2, 3, 0]"
0,[-2  1  2 -1],0,2,0.47,"[2, 3, 3, 8, 0, 9, 3, 5, 3, 8, 3, 5, 3, 8, 3, 8, 6, 0, 3, 7, 3, 2, 2, 2, 3, 9, 3, 5, 3, 5, 3, 3, 3, 3, 9, 8, 3, 5, 3, 0, 8, 2, 2, 3, 3, 3, 2, 3, 2, 3, 2, 2, 0]"
0,[-2  1  2 -1],0,3,0.79,"[5, 9, 4, 3, 8, 3, 2, 5, 8, 8, 0, 2, 3, 2, 3, 2, 10, 10, 9, 8, 0]"
0,[-2  1  2 -1],0,5,0.83,"[0, 8, 3, 2, 3, 8, 8, 3, 8, 8, 8, 2, 9, 3, 2, 5, 0]"
0,[-2  1  2 -1],0,6,0.49,"[7, 8, 3, 10, 9, 3, 3, 5, 9, 2, 3, 3, 8, 3, 9, 3, 3, 3, 5, 8, 6, 8, 3, 8, 3, 9, 8, 3, 8, 8, 8, 8, 3, 8, 2, 3, 9, 2, 8, 8, 0, 8, 6, 3, 3, 8, 2, 8, 10, 2, 0]"
0,[-2  1  2 -1],0,7,0.67,"[3, 8, 3, 9, 2, 3, 9, 7, 3, 2, 3, 7, 2, 2, 8, 0, 8, 3, 9, 3, 8, 8, 2, 8, 2, 8, 2, 5, 3, 3, 1, 3, 0]"
0,[-2  1  2 -1],0,10,0.66,"[3, 8, 3, 3, 8, 3, 8, 3, 3, 9, 3, 8, 2, 1, 8, 8, 1, 8, 0, 3, 3, 8, 9, 3, 8, 2, 2, 3, 8, 2, 8, 3, 3, 0]"
0,[-2  1  2 -1],0,11,0.74,"[3, 9, 9, 8, 3, 3, 8, 9, 3, 9, 8, 3, 3, 5, 1, 9, 8, 3, 3, 3, 9, 2, 0, 2, 3, 0]"
0,[-2  1  2 -1],0,12,0.71,"[3, 2, 3, 2, 2, 3, 3, 3, 3, 8, 3, 8, 10, 3, 8, 2, 8, 3, 0, 2, 8, 3, 8, 3, 2, 3, 3, 3, 0]"
0,[-2  1  2 -1],0,14,0.91,"[0, 8, 8, 3, 6, 8, 3, 3, 0]"
0,[-2  1  2 -1],0,15,0.48,"[9, 3, 3, 5, 5, 8, 3, 8, 3, 3, 8, 4, 2, 8, 9, 3, 3, 3, 4, 8, 8, 3, 9, 3, 8, 8, 8, 3, 8, 8, 9, 8, 2, 3, 9, 9, 9, 8, 8, 5, 2, 2, 2, 3, 3, 3, 0, 3, 2, 8, 2, 0]"
0,[-2  1  2 -1],0,18,0.21,"[8, 8, 6, 2, 8, 8, 8, 8, 5, 9, 8, 2, 7, 3, 6, 8, 8, 3, 9, 3, 8, 9, 3, 2, 2, 3, 2, 8, 2, 3, 3, 2, 2, 3, 0, 9, 3, 3, 3, 8, 8, 9, 4, 3, 8, 3, 8, 3, 2, 8, 8, 8, 9, 3, 3, 8, 8, 8, 2, 9, 8, 4, 2, 3, 3, 3, 5, 9, 2, 8, 3, 2, 5, 3, 3, 3, 3, 3, 0]"
0,[-2  1  2 -1],0,19,0.7,"[4, 8, 8, 9, 3, 8, 8, 3, 3, 2, 7, 8, 8, 3, 2, 2, 3, 2, 8, 8, 5, 2, 8, 2, 9, 3, 0, 3, 5, 0]"
0,[-2  1  2 -1],0,21,0.42,"[2, 8, 8, 7, 3, 2, 0, 3, 3, 8, 3, 8, 2, 8, 2, 8, 9, 3, 3, 3, 3, 9, 3, 8, 7, 3, 8, 9, 8, 2, 9, 8, 3, 8, 8, 8, 3, 2, 3, 2, 9, 8, 8, 3, 3, 8, 8, 8, 3, 9, 9, 7, 3, 8, 3, 8, 3, 0]"
