,Braid,Epoch,Step,Reward,Action_list
0,[-2 -1],0,16,0.89,"[0, 6, 2, 9, 10, 10, 9, 4, 3, 8, 0]"
0,[-2 -1],0,21,0.95,"[8, 3, 0, 8, 0]"
0,[-2 -1],0,55,0.86,"[0, 5, 6, 5, 1, 2, 5, 4, 8, 7, 8, 10, 3, 0]"
0,[-2 -1],0,69,0.8,"[5, 2, 8, 9, 3, 12, 1, 9, 0, 8, 5, 9, 3, 10, 9, 1, 5, 2, 1, 0]"
0,[-2 -1],0,77,0.96,"[11, 1, 8, 0]"
0,[-2 -1],0,81,0.9,"[3, 2, 0, 4, 7, 8, 9, 3, 10, 0]"
0,[-2 -1],0,94,0.91,"[5, 1, 1, 11, 4, 8, 1, 8, 0]"
0,[-2 -1],1,9,0.93,"[8, 2, 8, 0, 5, 1, 0]"
0,[-2 -1],1,80,0.98,"[0, 0]"
0,[-2 -1],1,95,0.7,"[8, 9, 5, 3, 5, 12, 2, 2, 0, 11, 10, 0, 10, 10, 3, 1, 11, 4, 8, 2, 11, 3, 11, 11, 12, 11, 3, 12, 2, 0]"
0,[-2 -1],2,32,0.95,"[4, 11, 8, 2, 0]"
0,[-2 -1],2,41,0.96,"[2, 0, 10, 0]"
0,[-2 -1],2,67,0.96,"[11, 9, 8, 0]"
0,[-2 -1],2,76,0.96,"[5, 10, 0, 0]"
0,[-2 -1],3,82,0.92,"[9, 10, 11, 5, 8, 11, 5, 8]"
0,[-2 -1],3,98,0.98,"[0, 0]"
0,[-2 -1],4,73,0.95,"[0, 9, 11, 3, 8]"
0,[-2 -1],4,87,0.97,"[2, 0, 0]"
0,[-2 -1],4,89,0.86,"[5, 9, 7, 8, 0, 8, 7, 0, 6, 8, 10, 1, 5, 8]"
0,[-1 -2],5,4,0.93,"[0, 8, 9, 7, 10, 8, 0]"
0,[-1 -2],5,47,0.96,"[11, 10, 8, 0]"
0,[-1 -2],5,53,0.81,"[7, 3, 11, 0, 0, 4, 8, 9, 10, 5, 8, 11, 7, 3, 8, 7, 8, 9, 8]"
0,[-1 -2],5,62,0.63,"[3, 6, 8, 3, 5, 10, 11, 2, 12, 0, 1, 3, 3, 3, 11, 9, 0, 3, 0, 0, 12, 9, 8, 9, 11, 8, 7, 5, 3, 8, 8, 3, 2, 3, 5, 3, 0]"
0,[-1 -2],5,95,0.94,"[1, 2, 11, 8, 2, 0]"
0,[-1 -2],6,12,0.87,"[2, 8, 3, 8, 0, 11, 8, 3, 6, 10, 2, 8, 0]"
0,[-1 -2],6,18,0.87,"[0, 6, 5, 9, 7, 0, 3, 8, 7, 3, 11, 8, 8]"
0,[-1 -2],6,37,0.95,"[0, 3, 9, 5, 0]"
0,[-1 -2],6,47,-0.24,"[0, 6, 5, 3, 7, 7, 8, 9, 4, 2, 0, 9, 7, 9, 3, 7, 8, 3, 10, 3, 5, 7, 3, 11, 2, 7, 8, 5, 3, 8, 2, 1, 12, 8, 7, 8, 8, 9, 3, 3, 7, 2, 3, 7, 8, 4, 7, 7, 1, 3, 3, 7, 7, 11, 12, 2, 11, 0, 4, 1, 2, 8, 11, 7, 8, 0, 3, 6, 8, 0, 10, 8, 2, 1, 7, 2, 5, 8, 7, 1, 2, 2, 6, 9, 9, 7, 3, 10, 8, 9, 8, 0, 7, 7, 3, 7, 11, 11, 0, 8, 3, 7, 2, 8, 12, 4, 11, 5, 4, 2, 7, 0, 2, 3, 1, 6, 11, 1, 2, 3, 4, 7, 2, 0]"
0,[-1 -2],6,58,0.76,"[2, 2, 0, 9, 2, 3, 1, 5, 10, 3, 10, 2, 8, 5, 2, 8, 3, 3, 6, 8, 9, 12, 1, 0]"
0,[-1 -2],6,94,0.97,"[0, 8, 0]"
0,[-1 -2],7,6,0.91,"[0, 3, 4, 9, 10, 3, 3, 8, 0]"
0,[-1 -2],7,11,0.79,"[8, 8, 0, 4, 8, 2, 7, 11, 3, 3, 3, 2, 10, 8, 0, 10, 2, 3, 8, 3, 0]"
0,[-1 -2],7,17,-0.09,"[4, 1, 7, 3, 9, 8, 4, 8, 8, 3, 11, 8, 8, 6, 8, 3, 8, 1, 3, 7, 7, 3, 12, 0, 8, 7, 8, 4, 0, 3, 8, 8, 11, 9, 4, 2, 9, 8, 6, 9, 3, 3, 8, 3, 3, 3, 7, 11, 9, 8, 3, 3, 3, 10, 11, 6, 7, 7, 9, 8, 2, 1, 3, 4, 12, 6, 5, 1, 3, 3, 6, 7, 11, 10, 6, 3, 9, 0, 7, 8, 3, 3, 9, 0, 2, 4, 2, 3, 6, 7, 11, 9, 8, 9, 8, 4, 7, 8, 7, 10, 11, 8, 7, 8, 2, 3, 3, 3, 0]"
0,[-1 -2],7,19,0.87,"[8, 5, 11, 10, 8, 8, 3, 3, 8, 3, 2, 8, 0]"
0,[-1 -2],7,29,0.95,"[0, 10, 8, 3, 0]"
0,[-1 -2],7,30,0.86,"[5, 8, 8, 1, 0, 11, 3, 3, 3, 12, 3, 3, 3, 8]"
0,[-1 -2],7,34,0.77,"[11, 6, 3, 3, 9, 8, 8, 3, 12, 12, 12, 1, 10, 7, 0, 8, 8, 10, 9, 2, 2, 2, 0]"
0,[-1 -2],7,36,0.89,"[5, 1, 2, 3, 5, 6, 8, 0, 3, 3, 0]"
0,[-1 -2],7,45,0.86,"[5, 4, 2, 6, 3, 8, 2, 5, 2, 2, 8, 0, 5, 0]"
0,[2 1],7,51,0.85,"[0, 1, 3, 7, 0, 8, 4, 7, 12, 3, 8, 3, 3, 3, 8]"
0,[2 1],7,52,0.53,"[3, 6, 8, 10, 3, 3, 9, 2, 4, 11, 0, 3, 2, 0, 8, 3, 5, 2, 2, 10, 9, 10, 7, 1, 2, 2, 10, 1, 11, 2, 0, 1, 8, 4, 12, 3, 11, 7, 9, 12, 4, 10, 8, 8, 9, 5, 0]"
0,[2 1],7,66,0.63,"[9, 8, 3, 5, 3, 11, 12, 2, 12, 4, 10, 8, 11, 3, 6, 4, 9, 7, 8, 6, 0, 0, 8, 3, 2, 3, 7, 8, 0, 2, 12, 7, 8, 3, 3, 2, 0]"
0,[2 1],7,67,0.93,"[0, 3, 2, 9, 3, 8, 0]"
0,[2 1],7,90,0.89,"[12, 2, 8, 3, 2, 5, 3, 12, 0, 9, 0]"
0,[2 1],7,91,0.9,"[3, 12, 11, 0, 3, 3, 2, 0, 0, 0]"
0,[2 1],8,1,0.76,"[3, 8, 8, 2, 8, 3, 8, 2, 8, 10, 3, 7, 9, 0, 3, 7, 3, 2, 2, 0, 8, 9, 0, 0]"
0,[2 1],8,5,0.97,"[0, 3, 0]"
0,[2 1],8,10,0.9,"[2, 9, 0, 3, 7, 3, 1, 0, 3, 0]"
0,[2 1],8,13,0.92,"[8, 12, 8, 12, 3, 5, 11, 8]"
0,[2 1],8,15,0.92,"[3, 10, 7, 8, 0, 8, 5, 0]"
0,[2 1],8,19,0.85,"[8, 9, 8, 5, 0, 6, 3, 3, 7, 8, 5, 2, 8, 2, 0]"
