,Braid,Epoch,Step,Reward,Action_list
0,[-1 -1  2  2 -3  1  2],0,3,0.06,"[9, 2, 3, 8, 5, 2, 8, 2, 3, 9, 2, 8, 3, 3, 2, 3, 9, 10, 8, 3, 3, 8, 8, 8, 9, 3, 8, 3, 8, 0, 9, 2, 2, 10, 8, 3, 2, 3, 2, 2, 9, 2, 8, 2, 8, 3, 3, 0, 8, 3, 6, 3, 8, 8, 3, 3, 2, 10, 2, 3, 9, 2, 2, 8, 2, 8, 8, 5, 2, 3, 3, 2, 3, 3, 8, 8, 9, 3, 8, 8, 9, 3, 2, 2, 3, 3, 3, 1, 8, 8, 2, 3, 3, 0]"
0,[-1 -1  2  2 -3  1  2],0,8,-0.26,"[3, 8, 8, 3, 9, 3, 8, 7, 3, 3, 3, 2, 9, 3, 2, 8, 8, 2, 2, 8, 8, 9, 2, 3, 0, 2, 10, 3, 2, 2, 2, 2, 8, 2, 9, 3, 3, 8, 3, 5, 3, 8, 3, 2, 2, 3, 3, 8, 9, 5, 3, 2, 8, 3, 3, 8, 8, 3, 8, 8, 8, 5, 3, 3, 3, 3, 8, 2, 2, 3, 8, 2, 2, 7, 3, 3, 3, 3, 3, 8, 8, 0, 2, 8, 9, 8, 3, 3, 3, 2, 2, 3, 9, 2, 3, 3, 8, 2, 9, 3, 3, 3, 8, 8, 3, 8, 2, 3, 8, 2, 3, 8, 3, 3, 8, 3, 2, 9, 3, 6, 3, 2, 2, 3, 9, 0]"
0,[-1 -1  2  2 -3  1  2],0,11,0.41,"[2, 8, 3, 8, 2, 8, 3, 8, 2, 3, 9, 3, 2, 5, 1, 8, 8, 3, 3, 8, 3, 3, 2, 2, 9, 8, 3, 0, 3, 9, 8, 3, 3, 3, 8, 3, 5, 3, 3, 3, 3, 3, 3, 2, 2, 3, 8, 9, 2, 2, 3, 3, 8, 0, 3, 3, 3, 3, 0]"
0,[-1 -1  2  2 -3  1  2],0,26,0.47,"[8, 5, 3, 9, 0, 8, 3, 3, 8, 8, 8, 8, 8, 9, 8, 2, 2, 2, 3, 3, 0, 2, 8, 2, 3, 9, 3, 8, 9, 3, 2, 3, 9, 3, 3, 8, 9, 8, 8, 8, 8, 9, 8, 2, 3, 8, 9, 2, 8, 3, 3, 2, 0]"
0,[-1 -1  2  2 -3  1  2],0,34,0.06,"[2, 8, 8, 3, 3, 3, 3, 3, 8, 3, 8, 2, 2, 8, 8, 8, 2, 3, 3, 3, 3, 3, 2, 8, 3, 3, 2, 8, 0, 3, 8, 9, 8, 3, 3, 9, 9, 3, 3, 3, 3, 2, 8, 2, 8, 2, 2, 2, 3, 8, 8, 8, 9, 8, 3, 8, 2, 3, 9, 8, 8, 3, 9, 3, 9, 3, 3, 8, 6, 9, 8, 3, 3, 9, 8, 0, 3, 2, 3, 5, 8, 2, 3, 8, 8, 3, 2, 3, 8, 8, 8, 2, 9, 0]"
0,[-1 -1  2  2 -3  1  2],0,37,0.13,"[8, 8, 3, 8, 3, 8, 3, 9, 3, 8, 0, 3, 8, 3, 3, 2, 3, 3, 3, 3, 9, 9, 9, 2, 2, 3, 2, 2, 8, 3, 8, 5, 3, 8, 8, 2, 3, 3, 2, 3, 2, 3, 8, 3, 8, 3, 8, 3, 8, 2, 3, 2, 3, 3, 3, 5, 3, 3, 2, 2, 2, 0, 2, 8, 3, 8, 2, 2, 2, 1, 3, 3, 3, 9, 2, 8, 3, 8, 3, 5, 3, 3, 9, 9, 3, 8, 0]"
0,[-1 -1  2  2 -3  1  2],0,43,0.41,"[3, 8, 9, 8, 9, 3, 6, 8, 9, 3, 8, 8, 3, 8, 3, 3, 3, 3, 9, 0, 8, 8, 2, 2, 3, 10, 2, 8, 2, 8, 2, 0, 3, 9, 3, 2, 3, 3, 8, 2, 3, 3, 2, 3, 3, 3, 8, 2, 9, 3, 8, 2, 2, 9, 3, 3, 8, 8, 0]"
0,[-1 -1  2  2 -3  1  2],0,47,0.26,"[5, 9, 0, 3, 5, 3, 8, 8, 8, 8, 2, 8, 8, 10, 2, 3, 3, 9, 8, 3, 8, 9, 3, 8, 8, 8, 3, 3, 3, 5, 9, 8, 2, 2, 3, 2, 8, 3, 8, 3, 3, 4, 8, 3, 9, 3, 3, 3, 8, 5, 3, 3, 3, 3, 3, 9, 8, 8, 8, 6, 9, 8, 3, 3, 2, 2, 2, 3, 3, 8, 3, 3, 0, 0]"
0,[-1 -1  2  2 -3  1  2],0,48,0.28,"[9, 8, 3, 9, 0, 3, 8, 8, 3, 6, 3, 8, 5, 8, 3, 3, 3, 2, 9, 8, 2, 10, 8, 3, 3, 3, 3, 8, 3, 3, 8, 3, 8, 2, 3, 3, 9, 8, 8, 8, 2, 8, 2, 3, 8, 3, 0, 3, 3, 2, 8, 8, 3, 8, 3, 5, 5, 8, 2, 8, 2, 8, 2, 3, 2, 3, 9, 3, 2, 3, 8, 0]"
0,[-1 -1  2  2 -3  1  2],0,52,-0.12,"[3, 3, 8, 1, 8, 3, 2, 2, 2, 3, 2, 2, 3, 3, 3, 8, 2, 8, 2, 2, 8, 8, 8, 8, 3, 2, 3, 3, 2, 8, 3, 2, 2, 10, 3, 3, 3, 3, 8, 8, 3, 0, 3, 3, 1, 8, 8, 2, 3, 3, 3, 8, 4, 3, 8, 9, 2, 2, 8, 3, 8, 0, 9, 8, 8, 8, 2, 8, 3, 8, 2, 3, 3, 3, 3, 8, 3, 3, 3, 3, 2, 3, 3, 8, 3, 9, 8, 8, 2, 3, 9, 8, 3, 3, 3, 8, 8, 3, 8, 3, 9, 9, 3, 8, 3, 2, 2, 3, 8, 3, 8, 0]"
0,[-1 -1  2  2 -3  1  2],0,60,0.7,"[9, 9, 5, 7, 3, 8, 8, 8, 3, 3, 5, 3, 8, 0, 3, 9, 3, 8, 8, 9, 8, 0, 5, 3, 8, 3, 8, 9, 3, 0]"
0,[-1 -1  2  2 -3  1  2],0,69,-0.01,"[2, 2, 3, 3, 3, 3, 3, 3, 1, 8, 9, 3, 3, 8, 3, 8, 8, 3, 8, 3, 2, 9, 2, 3, 3, 3, 3, 8, 2, 3, 3, 2, 3, 8, 3, 10, 2, 0, 3, 8, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 8, 3, 8, 3, 3, 3, 3, 2, 2, 3, 2, 3, 3, 3, 3, 2, 3, 8, 3, 5, 8, 5, 2, 8, 2, 3, 5, 3, 0, 8, 3, 5, 2, 2, 3, 8, 3, 3, 5, 3, 3, 8, 3, 2, 8, 8, 3, 8, 3, 8, 0]"
0,[-1 -1  2  2 -3  1  2],0,87,0.3,"[3, 9, 8, 2, 9, 8, 8, 10, 3, 10, 3, 3, 8, 8, 3, 8, 3, 3, 3, 8, 3, 2, 3, 5, 3, 2, 2, 2, 8, 3, 3, 2, 1, 3, 3, 3, 3, 3, 3, 8, 0, 3, 8, 2, 8, 8, 3, 0, 3, 8, 3, 3, 2, 3, 2, 6, 9, 10, 10, 3, 3, 3, 2, 8, 3, 9, 3, 3, 8, 0]"
0,[-1 -1  2  2 -3  1  2],0,92,0.57,"[3, 3, 2, 3, 3, 3, 9, 8, 5, 9, 3, 8, 8, 3, 3, 3, 9, 2, 0, 3, 8, 2, 3, 2, 8, 8, 3, 9, 10, 3, 8, 3, 8, 10, 2, 0, 2, 3, 3, 3, 3, 3, 0]"
0,[-1 -1  2  2 -3  1  2],0,98,-0.95,"[8, 8, 8, 2, 3, 3, 2, 9, 9, 8, 1, 8, 8, 8, 2, 8, 3, 3, 2, 8, 3, 9, 8, 3, 8, 9, 3, 8, 9, 8, 2, 3, 3, 0, 5, 2, 8, 8, 5, 2, 8, 8, 8, 2, 2, 3, 6, 0, 8, 2, 8, 8, 2, 2, 8, 9, 8, 9, 8, 3, 9, 8, 9, 10, 3, 10, 2, 2, 3, 3, 8, 3, 3, 3, 3, 9, 2, 9, 8, 2, 10, 8, 9, 8, 8, 3, 3, 3, 3, 0, 3, 8, 3, 8, 3, 2, 8, 3, 3, 3, 0, 3, 2, 8, 3, 8, 8, 6, 3, 3, 8, 3, 9, 2, 3, 5, 3, 8, 3, 2, 2, 3, 2, 9, 3, 3, 2, 5, 3, 3, 2, 3, 3, 8, 2, 2, 3, 8, 9, 3, 3, 8, 2, 2, 5, 10, 3, 3, 3, 2, 9, 8, 8, 2, 3, 2, 8, 3, 9, 8, 3, 8, 2, 3, 9, 8, 3, 8, 3, 2, 2, 8, 8, 3, 8, 9, 3, 3, 8, 3, 8, 8, 2, 3, 8, 9, 3, 2, 9, 3, 3, 8, 8, 3, 0]"
