,Braid,Epoch,Step,Reward,Action_list
0,[-2 -1 -3  2 -3 -1  2 -1 -2],0,3,-2.11,"[9, 3, 0, 8, 8, 10, 9, 6, 2, 0, 8, 8, 2, 8, 9, 8, 8, 3, 2, 3, 3, 2, 6, 3, 3, 3, 8, 3, 8, 0, 10, 2, 8, 3, 8, 8, 3, 3, 5, 2, 3, 3, 5, 8, 3, 3, 3, 3, 6, 8, 3, 3, 10, 5, 3, 3, 5, 2, 8, 3, 8, 3, 8, 2, 8, 2, 10, 2, 3, 9, 9, 2, 8, 8, 2, 9, 8, 8, 8, 8, 2, 3, 0, 8, 8, 5, 8, 9, 8, 3, 0, 3, 8, 3, 8, 3, 2, 2, 2, 3, 8, 5, 2, 8, 0, 8, 8, 9, 3, 3, 0]"
0,[-2 -1 -3  2 -3 -1  2 -1 -2],0,4,-2.25,"[3, 8, 2, 2, 9, 8, 8, 2, 3, 3, 8, 0, 8, 3, 8, 3, 5, 9, 8, 8, 3, 3, 3, 8, 3, 8, 8, 8, 2, 3, 2, 8, 8, 5, 8, 3, 8, 5, 2, 6, 2, 0, 2, 8, 8, 8, 2, 2, 8, 10, 2, 3, 3, 3, 8, 2, 8, 3, 3, 3, 5, 9, 9, 8, 3, 3, 8, 3, 8, 3, 5, 9, 2, 5, 8, 2, 3, 8, 3, 8, 3, 8, 2, 3, 3, 3, 3, 3, 3, 3, 2, 8, 2, 10, 2, 3, 8, 3, 2, 10, 3, 3, 3, 8, 3, 1, 0, 3, 3, 9, 3, 8, 2, 3, 3, 3, 2, 0, 8, 3, 2, 3, 3, 9, 0]"
0,[-2 -1 -3  2 -3 -1  2 -1 -2],0,8,-2.82,"[3, 3, 8, 3, 3, 3, 3, 3, 2, 8, 8, 8, 3, 3, 3, 9, 8, 3, 0, 8, 3, 3, 3, 3, 5, 3, 9, 10, 3, 3, 0, 8, 8, 9, 8, 8, 3, 2, 8, 9, 3, 8, 2, 8, 3, 3, 2, 5, 0, 3, 8, 3, 8, 3, 9, 3, 3, 3, 3, 3, 9, 8, 9, 8, 3, 8, 3, 3, 8, 1, 6, 3, 2, 2, 9, 3, 8, 0, 3, 3, 9, 8, 3, 2, 8, 2, 3, 3, 2, 3, 3, 2, 3, 2, 10, 3, 2, 2, 3, 8, 8, 9, 3, 3, 3, 8, 9, 3, 3, 8, 9, 2, 3, 2, 3, 3, 3, 3, 6, 3, 9, 10, 2, 3, 2, 3, 2, 2, 3, 9, 8, 8, 9, 8, 3, 8, 2, 8, 5, 8, 2, 3, 9, 3, 8, 3, 3, 8, 5, 3, 3, 3, 9, 3, 2, 8, 9, 8, 3, 3, 2, 5, 3, 3, 3, 2, 3, 3, 3, 3, 8, 3, 3, 3, 3, 2, 8, 2, 5, 8, 2, 0]"
0,[-2 -1 -3  2 -3 -1  2 -1 -2],0,11,-2.79,"[3, 9, 8, 8, 8, 8, 8, 8, 8, 3, 8, 3, 8, 2, 3, 3, 3, 8, 3, 8, 3, 3, 8, 8, 8, 3, 0, 3, 2, 3, 8, 3, 8, 2, 3, 3, 2, 3, 8, 9, 8, 8, 8, 3, 3, 0, 8, 3, 2, 3, 0, 3, 8, 8, 9, 3, 2, 3, 8, 3, 10, 8, 3, 3, 8, 3, 3, 2, 3, 2, 3, 9, 9, 8, 2, 8, 8, 2, 8, 8, 8, 3, 3, 3, 3, 3, 3, 3, 3, 8, 3, 6, 2, 2, 3, 8, 3, 9, 2, 8, 3, 3, 3, 8, 3, 3, 10, 9, 3, 3, 9, 3, 8, 8, 9, 8, 2, 3, 8, 3, 3, 3, 3, 0, 8, 3, 3, 8, 10, 5, 8, 8, 3, 3, 5, 8, 2, 3, 3, 3, 2, 3, 3, 3, 3, 8, 10, 3, 3, 10, 3, 3, 3, 3, 5, 8, 8, 3, 8, 9, 3, 3, 3, 3, 8, 3, 8, 8, 9, 8, 9, 2, 3, 8, 3, 3, 5, 8, 0]"
0,[-2 -1 -3  2 -3 -1  2 -1 -2],0,12,-2.02,"[3, 3, 3, 9, 2, 8, 0, 8, 2, 9, 0, 3, 3, 3, 8, 3, 3, 3, 10, 3, 3, 8, 3, 9, 2, 2, 9, 8, 3, 4, 2, 8, 2, 6, 2, 8, 5, 3, 8, 2, 8, 9, 2, 8, 8, 2, 10, 3, 8, 3, 2, 2, 10, 2, 3, 3, 8, 3, 3, 3, 8, 3, 2, 8, 2, 9, 3, 3, 3, 3, 3, 3, 9, 2, 2, 0, 9, 3, 8, 8, 9, 8, 3, 9, 8, 8, 9, 8, 3, 2, 10, 2, 9, 8, 3, 9, 2, 0, 3, 3, 3, 0]"
0,[-2 -1 -3  2 -3 -1  2 -1 -2],0,18,-1.33,"[8, 9, 8, 0, 8, 3, 5, 3, 3, 8, 8, 8, 3, 3, 3, 0, 3, 8, 10, 3, 3, 3, 9, 2, 10, 0, 8, 9, 0, 3, 8, 3, 0]"
0,[-2 -1 -3  2 -3 -1  2 -1 -2],0,19,-2.04,"[2, 2, 3, 8, 9, 3, 3, 2, 10, 8, 8, 3, 3, 3, 8, 8, 3, 0, 3, 6, 3, 9, 3, 10, 2, 2, 3, 5, 3, 3, 10, 9, 8, 3, 8, 3, 3, 3, 8, 5, 0, 2, 3, 8, 8, 10, 9, 3, 3, 8, 8, 3, 3, 8, 8, 3, 10, 3, 9, 2, 9, 9, 8, 3, 2, 3, 0, 3, 8, 2, 3, 5, 0, 8, 2, 3, 8, 2, 3, 3, 8, 10, 2, 2, 2, 2, 3, 3, 3, 8, 10, 2, 3, 3, 3, 3, 3, 3, 3, 8, 3, 2, 9, 0]"
0,[-2 -1 -3  2 -3 -1  2 -1 -2],0,20,-2.45,"[3, 3, 8, 3, 8, 3, 6, 3, 8, 8, 5, 3, 3, 0, 8, 2, 3, 3, 3, 3, 2, 8, 3, 8, 3, 9, 8, 3, 3, 3, 2, 10, 8, 2, 3, 3, 2, 8, 2, 8, 9, 0, 9, 8, 8, 2, 3, 2, 9, 3, 8, 8, 3, 3, 3, 8, 9, 8, 8, 2, 8, 2, 9, 5, 8, 3, 8, 2, 8, 8, 3, 8, 2, 8, 2, 3, 9, 8, 3, 8, 3, 9, 2, 3, 2, 3, 3, 3, 3, 8, 3, 3, 3, 9, 8, 3, 9, 3, 8, 3, 3, 3, 3, 3, 3, 3, 3, 8, 5, 3, 8, 0, 3, 10, 10, 8, 8, 3, 3, 5, 2, 9, 3, 3, 3, 2, 3, 2, 2, 2, 3, 2, 9, 3, 8, 3, 9, 3, 2, 0, 8, 3, 3, 3, 0]"
0,[-2 -1 -3  2 -3 -1  2 -1 -2],0,23,-2.59,"[2, 2, 8, 8, 8, 8, 8, 9, 2, 9, 9, 0, 3, 3, 2, 2, 3, 3, 8, 2, 2, 2, 3, 9, 2, 9, 8, 3, 2, 3, 3, 8, 3, 3, 2, 3, 5, 3, 8, 3, 9, 3, 3, 3, 3, 2, 3, 8, 8, 3, 3, 9, 8, 3, 3, 0, 9, 3, 9, 3, 8, 3, 2, 3, 3, 9, 3, 1, 9, 3, 3, 2, 2, 8, 2, 8, 2, 8, 10, 8, 9, 3, 10, 2, 8, 8, 3, 1, 9, 8, 3, 8, 3, 3, 2, 2, 3, 8, 3, 3, 3, 8, 3, 8, 3, 3, 8, 3, 9, 3, 0, 8, 3, 2, 2, 3, 3, 8, 3, 9, 8, 3, 8, 3, 3, 3, 3, 3, 3, 8, 8, 3, 3, 3, 8, 8, 3, 3, 8, 5, 3, 3, 3, 8, 9, 3, 3, 8, 8, 3, 3, 0, 9, 2, 8, 8, 8, 8, 0]"
0,[-2 -1 -3  2 -3 -1  2 -1 -2],0,25,-1.94,"[3, 3, 2, 8, 8, 3, 3, 2, 9, 3, 8, 2, 8, 3, 10, 8, 8, 2, 8, 8, 3, 5, 3, 3, 8, 3, 3, 0, 2, 0, 8, 3, 9, 8, 8, 3, 8, 0, 8, 3, 2, 3, 2, 8, 8, 2, 8, 8, 3, 3, 3, 2, 3, 2, 8, 8, 3, 3, 3, 8, 5, 8, 3, 8, 8, 8, 8, 3, 3, 8, 3, 3, 8, 2, 3, 5, 8, 8, 8, 5, 2, 9, 2, 0, 8, 3, 3, 2, 4, 8, 10, 3, 5, 0]"
