,Braid,Epoch,Step,Reward,Action_list
0,[ 1 -2 -1 -2  3  1  1],0,0,0.33,"[9, 3, 8, 3, 5, 3, 8, 3, 9, 3, 9, 8, 8, 8, 3, 3, 9, 10, 3, 3, 5, 3, 8, 3, 3, 9, 2, 3, 8, 3, 3, 3, 8, 0, 8, 3, 3, 10, 3, 3, 3, 3, 3, 3, 8, 3, 2, 8, 2, 2, 0, 8, 3, 2, 8, 3, 9, 2, 8, 2, 8, 3, 2, 3, 2, 2, 0]"
0,[ 1 -2 -1 -2  3  1  1],0,2,0.08,"[3, 8, 3, 1, 8, 3, 8, 3, 3, 3, 2, 3, 0, 3, 8, 8, 3, 9, 8, 9, 8, 8, 8, 3, 3, 0, 8, 2, 10, 2, 6, 3, 6, 8, 9, 8, 8, 1, 3, 8, 8, 3, 3, 8, 3, 3, 8, 5, 10, 9, 2, 3, 8, 8, 3, 3, 3, 8, 3, 3, 3, 2, 3, 3, 6, 3, 3, 3, 9, 2, 5, 3, 2, 3, 3, 3, 8, 2, 2, 8, 3, 8, 2, 2, 9, 3, 3, 3, 2, 8, 3, 0]"
0,[ 1 -2 -1 -2  3  1  1],0,3,0.39,"[2, 8, 4, 8, 2, 3, 9, 9, 8, 3, 3, 3, 3, 7, 8, 3, 8, 3, 2, 8, 8, 3, 3, 3, 3, 3, 3, 8, 8, 8, 8, 3, 3, 10, 3, 3, 3, 3, 5, 3, 3, 10, 2, 8, 3, 8, 2, 2, 3, 8, 3, 8, 2, 2, 0, 8, 10, 3, 9, 0, 0]"
0,[ 1 -2 -1 -2  3  1  1],0,4,0.61,"[0, 3, 2, 3, 5, 8, 3, 9, 8, 0, 3, 8, 3, 3, 3, 3, 2, 8, 3, 8, 3, 3, 2, 9, 8, 3, 8, 8, 8, 3, 8, 3, 8, 3, 3, 8, 3, 8, 0]"
0,[ 1 -2 -1 -2  3  1  1],0,7,-0.11,"[8, 10, 3, 2, 0, 3, 5, 8, 3, 2, 8, 2, 8, 5, 2, 3, 3, 5, 3, 9, 3, 3, 3, 3, 9, 8, 2, 3, 3, 2, 3, 8, 3, 8, 3, 2, 2, 3, 2, 3, 8, 6, 3, 3, 8, 8, 8, 8, 3, 2, 9, 8, 9, 9, 8, 9, 9, 8, 3, 3, 2, 3, 3, 3, 3, 3, 3, 8, 0, 3, 9, 5, 3, 8, 3, 8, 3, 8, 8, 8, 3, 3, 3, 8, 2, 3, 8, 3, 8, 3, 3, 3, 3, 2, 3, 8, 8, 3, 7, 3, 8, 6, 3, 2, 2, 3, 3, 3, 8, 9, 0]"
0,[ 1 -2 -1 -2  3  1  1],0,8,0.63,"[9, 3, 2, 3, 8, 2, 8, 9, 8, 3, 7, 8, 2, 8, 3, 8, 9, 3, 8, 3, 2, 8, 3, 0, 3, 3, 8, 3, 0, 1, 8, 10, 8, 3, 3, 3, 0]"
0,[ 1 -2 -1 -2  3  1  1],0,10,0.25,"[8, 3, 3, 8, 2, 5, 8, 8, 2, 3, 3, 3, 3, 0, 3, 9, 3, 3, 3, 3, 3, 3, 8, 5, 2, 3, 9, 3, 9, 2, 3, 10, 8, 8, 8, 8, 8, 3, 3, 2, 8, 3, 3, 10, 3, 8, 9, 8, 3, 8, 3, 8, 3, 3, 3, 2, 3, 8, 3, 2, 3, 10, 9, 8, 8, 8, 2, 3, 3, 8, 3, 2, 3, 0, 0]"
0,[ 1 -2 -1 -2  3  1  1],0,11,0.09,"[8, 9, 3, 3, 3, 3, 3, 2, 3, 8, 8, 2, 8, 3, 3, 2, 2, 0, 3, 3, 3, 3, 3, 8, 8, 3, 8, 3, 9, 8, 3, 3, 8, 5, 2, 8, 2, 2, 9, 8, 8, 2, 3, 3, 9, 8, 8, 3, 8, 9, 2, 3, 3, 8, 3, 8, 2, 3, 3, 2, 2, 8, 2, 3, 0, 8, 2, 3, 2, 3, 3, 3, 8, 9, 3, 3, 7, 8, 2, 3, 3, 3, 3, 3, 2, 3, 2, 8, 3, 3, 0]"
0,[ 1 -2 -1 -2  3  1  1],0,12,0.26,"[3, 3, 3, 3, 8, 3, 2, 8, 3, 9, 3, 9, 3, 9, 8, 0, 3, 3, 3, 3, 3, 2, 3, 5, 8, 3, 8, 4, 3, 8, 3, 8, 3, 2, 8, 5, 9, 9, 9, 0, 3, 3, 3, 2, 3, 8, 3, 3, 8, 3, 9, 3, 8, 2, 2, 3, 9, 3, 3, 2, 3, 8, 8, 3, 8, 8, 3, 3, 3, 2, 3, 2, 2, 0]"
0,[ 1 -2 -1 -2  3  1  1],0,13,-0.25,"[9, 3, 3, 3, 3, 2, 3, 3, 8, 5, 9, 8, 8, 2, 8, 8, 8, 3, 3, 8, 3, 10, 9, 3, 8, 8, 8, 8, 3, 3, 3, 3, 3, 2, 3, 8, 10, 5, 2, 8, 8, 8, 9, 3, 8, 8, 3, 3, 8, 2, 8, 2, 8, 3, 2, 3, 8, 5, 8, 2, 9, 5, 3, 9, 2, 8, 3, 8, 8, 8, 2, 3, 8, 2, 3, 3, 8, 9, 2, 5, 3, 2, 8, 3, 3, 8, 3, 3, 3, 8, 3, 2, 3, 8, 3, 3, 3, 8, 0, 8, 3, 3, 8, 8, 3, 3, 3, 3, 8, 8, 3, 0, 3, 2, 5, 2, 9, 6, 2, 3, 2, 8, 3, 3, 0]"
0,[ 1 -2 -1 -2  3  1  1],0,16,-0.13,"[3, 8, 2, 2, 8, 8, 2, 3, 8, 3, 3, 3, 2, 3, 8, 8, 3, 2, 3, 3, 3, 3, 2, 8, 8, 2, 8, 3, 3, 8, 3, 9, 8, 10, 9, 3, 8, 3, 2, 2, 8, 3, 3, 5, 10, 3, 8, 2, 8, 0, 2, 3, 3, 3, 9, 2, 9, 2, 8, 8, 8, 8, 2, 1, 2, 3, 3, 8, 3, 9, 2, 2, 8, 2, 2, 5, 5, 8, 2, 3, 3, 9, 8, 8, 8, 2, 8, 2, 8, 9, 3, 8, 2, 2, 10, 9, 2, 3, 3, 3, 0, 9, 8, 9, 3, 2, 8, 9, 9, 8, 2, 8, 0]"
0,[ 1 -2 -1 -2  3  1  1],0,17,-0.29,"[3, 10, 0, 3, 8, 8, 2, 3, 8, 8, 8, 9, 3, 3, 3, 1, 3, 3, 9, 3, 8, 8, 8, 3, 3, 3, 3, 2, 3, 8, 3, 8, 3, 2, 8, 2, 8, 3, 3, 2, 1, 3, 8, 3, 8, 2, 3, 2, 8, 2, 2, 8, 3, 2, 8, 2, 8, 2, 8, 2, 3, 3, 9, 8, 9, 8, 3, 9, 2, 3, 3, 10, 3, 3, 3, 8, 3, 6, 8, 2, 8, 9, 2, 0, 2, 9, 8, 10, 3, 3, 8, 3, 3, 2, 2, 9, 3, 3, 3, 8, 8, 3, 8, 8, 2, 8, 8, 2, 6, 9, 3, 10, 3, 8, 2, 9, 2, 9, 8, 9, 5, 8, 2, 8, 8, 3, 3, 3, 0]"
0,[ 1 -2 -1 -2  3  1  1],0,18,0.28,"[8, 3, 1, 3, 3, 8, 8, 3, 3, 5, 3, 2, 1, 8, 9, 2, 8, 0, 3, 2, 2, 2, 3, 8, 3, 8, 9, 8, 3, 3, 2, 8, 3, 8, 8, 8, 3, 2, 2, 2, 5, 3, 10, 5, 8, 2, 9, 3, 3, 3, 7, 3, 8, 8, 2, 3, 9, 8, 8, 9, 3, 8, 6, 3, 2, 8, 9, 8, 3, 0, 8, 0]"
0,[ 1 -2 -1 -2  3  1  1],0,19,0.21,"[3, 8, 8, 8, 3, 3, 0, 3, 3, 5, 3, 2, 2, 3, 3, 3, 3, 8, 3, 3, 3, 3, 2, 3, 3, 3, 3, 9, 8, 9, 3, 9, 8, 3, 3, 3, 3, 3, 3, 2, 3, 5, 2, 3, 3, 2, 9, 2, 2, 2, 3, 3, 3, 9, 2, 3, 9, 8, 3, 3, 8, 3, 10, 8, 8, 9, 5, 3, 8, 8, 0, 3, 8, 3, 8, 3, 2, 3, 0]"
0,[ 1 -2 -1 -2  3  1  1],0,26,0.37,"[8, 3, 3, 9, 3, 3, 3, 3, 9, 2, 3, 5, 3, 8, 3, 0, 8, 3, 2, 8, 8, 9, 3, 2, 3, 3, 9, 3, 8, 3, 3, 3, 2, 2, 3, 3, 2, 3, 3, 9, 3, 3, 3, 3, 2, 2, 3, 8, 3, 3, 3, 2, 2, 3, 0, 8, 8, 9, 3, 8, 2, 3, 0]"
0,[ 1 -2 -1 -2  3  1  1],0,27,-0.17,"[3, 3, 3, 3, 5, 3, 9, 8, 2, 3, 9, 3, 9, 3, 8, 0, 8, 9, 2, 8, 3, 2, 3, 3, 10, 3, 3, 5, 3, 2, 3, 9, 2, 2, 3, 3, 2, 8, 3, 3, 9, 0, 9, 2, 8, 3, 8, 2, 3, 3, 3, 3, 8, 2, 8, 8, 9, 8, 4, 8, 8, 8, 3, 9, 5, 8, 10, 3, 3, 3, 3, 3, 8, 8, 8, 3, 2, 8, 2, 8, 8, 2, 2, 3, 2, 2, 3, 7, 3, 8, 2, 9, 2, 8, 9, 3, 8, 2, 3, 3, 3, 9, 2, 3, 3, 2, 8, 9, 8, 3, 3, 8, 8, 2, 8, 8, 0]"
0,[ 1 -2 -1 -2  3  1  1],0,28,0.06,"[0, 8, 3, 9, 3, 3, 8, 3, 9, 8, 3, 2, 8, 2, 2, 3, 8, 2, 7, 8, 2, 3, 8, 2, 2, 1, 3, 8, 3, 2, 9, 2, 3, 10, 3, 8, 8, 3, 7, 8, 3, 3, 9, 3, 8, 8, 3, 2, 3, 2, 3, 8, 2, 3, 7, 3, 0, 2, 3, 8, 3, 8, 3, 3, 2, 5, 3, 2, 3, 9, 2, 8, 2, 2, 8, 3, 5, 10, 8, 8, 3, 8, 8, 2, 3, 0, 2, 8, 8, 2, 3, 3, 3, 0]"
0,[ 1 -2 -1 -2  3  1  1],0,33,-0.13,"[8, 3, 3, 8, 9, 2, 3, 2, 9, 3, 3, 3, 8, 3, 2, 3, 3, 8, 3, 8, 2, 3, 3, 8, 3, 3, 8, 8, 3, 3, 3, 3, 8, 2, 3, 9, 3, 2, 9, 2, 3, 8, 2, 8, 8, 5, 0, 2, 3, 3, 2, 3, 8, 3, 8, 3, 8, 9, 3, 3, 3, 8, 2, 3, 8, 9, 8, 8, 2, 0, 3, 9, 3, 8, 3, 2, 9, 8, 8, 3, 3, 2, 3, 3, 3, 3, 9, 2, 3, 3, 3, 9, 3, 3, 2, 3, 3, 3, 9, 3, 8, 8, 2, 3, 2, 8, 9, 3, 2, 3, 8, 8, 0]"
0,[ 1 -2 -1 -2  3  1  1],0,34,0.15,"[3, 1, 3, 4, 3, 9, 9, 8, 3, 3, 3, 2, 2, 8, 3, 2, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 9, 8, 10, 3, 8, 3, 2, 3, 3, 3, 0, 9, 8, 2, 2, 2, 3, 9, 2, 5, 2, 3, 3, 3, 8, 3, 3, 3, 3, 10, 8, 5, 2, 3, 2, 8, 8, 2, 8, 3, 8, 8, 8, 1, 8, 3, 8, 3, 0, 8, 8, 3, 2, 2, 9, 2, 2, 3, 0]"
0,[ 1 -2 -1 -2  3  1  1],0,35,0.18,"[3, 5, 8, 3, 3, 8, 6, 2, 3, 8, 3, 2, 3, 8, 3, 2, 3, 3, 3, 3, 3, 8, 8, 2, 3, 0, 3, 3, 3, 0, 8, 2, 9, 3, 8, 3, 5, 2, 2, 3, 8, 3, 2, 3, 8, 2, 2, 3, 9, 2, 8, 8, 3, 8, 10, 3, 3, 3, 8, 3, 2, 2, 3, 9, 3, 3, 8, 3, 8, 8, 2, 8, 8, 8, 3, 3, 8, 3, 3, 9, 3, 0]"
0,[ 1  3 -2 -1 -3 -1 -1 -2  1],0,36,0.23,"[9, 9, 3, 8, 3, 8, 8, 2, 9, 3, 3, 3, 8, 2, 3, 9, 7, 9, 2, 3, 8, 8, 9, 3, 8, 6, 3, 3, 3, 8, 2, 8, 2, 3, 3, 3, 3, 8, 8, 3, 3, 3, 2, 2, 2, 3, 3, 9, 3, 3, 8, 8, 0, 3, 3, 3, 8, 5, 3, 3, 2, 3, 0, 8, 8, 8, 3, 3, 3, 2, 3, 3, 3, 3, 8, 3, 0]"
0,[ 1  3 -2 -1 -3 -1 -1 -2  1],0,39,0.48,"[9, 3, 8, 8, 9, 2, 2, 9, 3, 2, 8, 3, 3, 0, 3, 8, 9, 3, 2, 8, 2, 3, 8, 0, 2, 2, 3, 3, 2, 9, 3, 3, 3, 6, 3, 8, 3, 3, 8, 2, 9, 6, 9, 4, 8, 2, 3, 9, 3, 8, 8, 0]"
0,[ 1  3 -2 -1 -3 -1 -1 -2  1],0,73,-0.64,"[9, 8, 2, 8, 3, 3, 2, 8, 3, 8, 3, 3, 8, 2, 8, 2, 3, 9, 8, 8, 5, 9, 8, 2, 2, 8, 2, 2, 3, 2, 3, 3, 3, 3, 8, 9, 10, 3, 9, 8, 3, 5, 3, 8, 9, 5, 8, 3, 8, 8, 3, 0, 3, 8, 3, 3, 2, 3, 3, 0, 3, 3, 8, 8, 3, 3, 3, 9, 3, 8, 3, 8, 2, 3, 3, 3, 5, 8, 3, 9, 9, 8, 8, 3, 9, 3, 3, 3, 10, 3, 3, 8, 7, 2, 3, 9, 3, 8, 2, 2, 9, 8, 5, 8, 6, 8, 2, 9, 3, 2, 3, 3, 3, 8, 4, 3, 3, 3, 2, 3, 3, 8, 3, 3, 3, 3, 3, 8, 3, 3, 3, 3, 3, 3, 2, 8, 8, 3, 3, 9, 8, 10, 3, 9, 2, 2, 3, 8, 8, 2, 3, 3, 8, 9, 8, 8, 2, 3, 3, 3, 3, 8, 3, 0]"
0,[ 1  3 -2 -1 -3 -1 -1 -2  1],0,82,-0.48,"[3, 3, 2, 8, 8, 8, 8, 9, 9, 3, 8, 8, 2, 8, 8, 8, 2, 2, 1, 8, 3, 2, 3, 2, 3, 9, 3, 10, 8, 2, 8, 5, 8, 5, 2, 2, 3, 3, 5, 3, 2, 1, 3, 3, 3, 8, 3, 3, 3, 8, 3, 3, 9, 3, 10, 7, 5, 5, 8, 2, 2, 8, 3, 9, 9, 8, 8, 3, 0, 3, 3, 8, 3, 3, 3, 8, 8, 8, 3, 8, 8, 8, 3, 8, 3, 3, 8, 3, 5, 3, 9, 8, 3, 3, 3, 3, 2, 8, 3, 3, 8, 2, 3, 3, 2, 2, 2, 8, 3, 2, 3, 8, 2, 8, 3, 8, 8, 3, 0, 8, 3, 3, 8, 8, 9, 2, 2, 5, 9, 3, 8, 3, 3, 10, 3, 3, 8, 2, 8, 3, 3, 3, 2, 3, 9, 3, 8, 0]"
0,[ 1  3 -2 -1 -3 -1 -1 -2  1],1,0,0.69,"[3, 9, 9, 5, 2, 2, 9, 3, 3, 3, 2, 3, 5, 0, 9, 8, 3, 3, 8, 3, 8, 0, 3, 8, 3, 2, 8, 3, 3, 3, 0]"
0,[ 1  3 -2 -1 -3 -1 -1 -2  1],1,2,0.36,"[2, 2, 8, 3, 3, 8, 3, 3, 3, 2, 3, 3, 3, 3, 8, 3, 3, 3, 8, 3, 8, 3, 3, 3, 3, 3, 9, 0, 3, 2, 8, 2, 3, 2, 2, 3, 8, 8, 3, 8, 8, 3, 5, 3, 3, 4, 3, 9, 2, 8, 8, 3, 10, 9, 3, 0, 3, 3, 5, 8, 8, 2, 2, 0]"
0,[ 1  3 -2 -1 -3 -1 -1 -2  1],1,6,-0.27,"[2, 3, 8, 8, 2, 8, 3, 5, 8, 5, 3, 2, 3, 2, 8, 7, 3, 3, 3, 8, 3, 3, 3, 3, 8, 3, 3, 0, 3, 5, 8, 8, 3, 3, 3, 3, 3, 1, 2, 3, 3, 8, 2, 3, 8, 9, 8, 8, 2, 8, 8, 3, 3, 3, 3, 9, 2, 9, 2, 8, 8, 2, 9, 3, 3, 3, 9, 3, 0, 3, 3, 3, 8, 2, 3, 3, 8, 4, 3, 3, 3, 3, 8, 8, 2, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 8, 3, 9, 3, 3, 3, 9, 3, 8, 3, 2, 3, 8, 2, 3, 9, 9, 2, 8, 8, 3, 8, 3, 3, 8, 3, 0]"
0,[ 1  3 -2 -1 -3 -1 -1 -2  1],1,10,0.29,"[8, 3, 2, 8, 3, 3, 3, 8, 9, 7, 2, 2, 3, 3, 3, 8, 3, 3, 3, 8, 3, 3, 3, 3, 2, 3, 3, 3, 3, 8, 10, 5, 3, 3, 8, 8, 2, 9, 0, 0, 3, 3, 3, 3, 8, 3, 3, 3, 3, 3, 9, 3, 3, 8, 3, 2, 3, 3, 3, 9, 9, 8, 3, 3, 2, 3, 8, 2, 3, 8, 0]"
0,[ 1  3 -2 -1 -3 -1 -1 -2  1],1,30,-0.36,"[9, 2, 3, 3, 8, 3, 8, 3, 8, 2, 3, 2, 8, 3, 4, 3, 3, 0, 3, 3, 8, 3, 3, 3, 8, 3, 3, 5, 2, 3, 9, 3, 9, 3, 8, 2, 8, 8, 3, 2, 6, 3, 2, 7, 8, 2, 8, 3, 8, 2, 3, 2, 3, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 2, 3, 3, 2, 3, 9, 6, 2, 8, 9, 3, 3, 5, 8, 8, 3, 3, 3, 2, 3, 3, 3, 3, 8, 3, 2, 3, 8, 3, 3, 3, 3, 9, 8, 1, 3, 8, 3, 0, 3, 3, 8, 3, 5, 3, 9, 2, 8, 3, 2, 3, 3, 3, 8, 10, 3, 2, 9, 3, 8, 8, 3, 5, 8, 3, 3, 3, 3, 3, 3, 3, 4, 0]"
0,[ 1  3 -2 -1 -3 -1 -1 -2  1],1,50,-0.07,"[2, 3, 3, 8, 3, 3, 9, 8, 3, 8, 8, 9, 3, 3, 2, 8, 3, 3, 3, 8, 2, 3, 8, 0, 5, 2, 5, 8, 8, 8, 3, 2, 8, 3, 3, 9, 3, 3, 9, 3, 9, 3, 10, 3, 8, 2, 2, 8, 9, 8, 8, 3, 3, 3, 5, 3, 8, 3, 2, 8, 3, 3, 3, 3, 10, 10, 8, 2, 3, 10, 8, 6, 8, 8, 3, 9, 3, 8, 8, 3, 3, 8, 8, 8, 9, 8, 8, 2, 8, 3, 3, 3, 3, 2, 9, 10, 5, 8, 3, 3, 3, 3, 3, 3, 3, 0, 0]"
0,[ 1  3 -2 -1 -3 -1 -1 -2  1],1,55,0.11,"[5, 3, 3, 3, 3, 3, 3, 2, 8, 3, 3, 2, 3, 3, 3, 2, 8, 3, 0, 3, 8, 3, 3, 3, 8, 3, 3, 5, 8, 9, 2, 3, 2, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 8, 3, 3, 2, 9, 3, 3, 5, 3, 2, 3, 3, 2, 10, 3, 3, 3, 9, 8, 8, 2, 3, 8, 8, 3, 3, 3, 3, 3, 8, 8, 8, 2, 3, 9, 2, 8, 3, 3, 3, 3, 3, 8, 3, 8, 0]"
0,[ 1  3 -2 -1 -3 -1 -1 -2  1],1,58,-0.0,"[3, 3, 3, 8, 2, 2, 9, 3, 3, 9, 3, 9, 2, 0, 3, 8, 3, 3, 3, 9, 3, 3, 9, 8, 3, 8, 3, 12, 0, 8, 3, 8, 3, 9, 3, 8, 3, 3, 8, 2, 10, 3, 8, 3, 8, 3, 8, 3, 3, 8, 3, 8, 8, 3, 3, 3, 8, 5, 7, 8, 8, 2, 0, 3, 8, 9, 8, 3, 2, 5, 3, 3, 9, 8, 2, 3, 8, 3, 3, 3, 3, 8, 3, 3, 3, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3, 8, 9, 9, 2, 0]"
0,[ 1  3 -2 -1 -3 -1 -1 -2  1],1,61,0.2,"[3, 8, 3, 8, 8, 3, 2, 3, 3, 8, 8, 3, 3, 9, 3, 2, 3, 9, 3, 8, 2, 8, 3, 3, 3, 8, 3, 3, 8, 0, 3, 3, 3, 8, 3, 3, 3, 3, 3, 9, 3, 3, 3, 3, 9, 8, 3, 2, 3, 2, 3, 2, 2, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 2, 3, 3, 3, 3, 0, 8, 2, 3, 3, 9, 8, 3, 0]"
0,[ 1  3 -2 -1 -3 -1 -1 -2  1],1,91,-0.98,"[3, 8, 3, 3, 3, 2, 3, 8, 8, 3, 8, 3, 8, 2, 3, 8, 3, 2, 3, 8, 3, 8, 2, 8, 8, 3, 3, 3, 8, 2, 3, 3, 3, 2, 8, 3, 8, 3, 3, 3, 2, 8, 8, 8, 8, 8, 7, 2, 2, 3, 3, 10, 2, 8, 3, 9, 8, 8, 9, 5, 3, 3, 3, 3, 3, 3, 9, 9, 3, 3, 3, 3, 9, 8, 3, 10, 3, 3, 8, 3, 3, 8, 3, 3, 9, 8, 9, 8, 3, 3, 5, 3, 8, 3, 8, 3, 8, 2, 3, 8, 3, 3, 2, 2, 3, 9, 2, 8, 3, 3, 8, 3, 8, 2, 3, 8, 3, 8, 3, 8, 2, 9, 3, 3, 9, 3, 9, 8, 3, 3, 3, 8, 3, 3, 9, 3, 3, 8, 8, 8, 9, 2, 3, 2, 8, 3, 9, 0, 5, 3, 3, 2, 8, 8, 2, 8, 3, 8, 3, 3, 3, 3, 9, 8, 9, 3, 3, 2, 3, 3, 9, 3, 0, 0, 2, 8, 3, 3, 3, 3, 9, 8, 3, 3, 3, 3, 2, 3, 3, 2, 0, 3, 3, 3, 3, 8, 3, 0]"
