,Braid,Epoch,Step,Reward,Action_list
0,[1 1 1 1 1 1 1],0,1,-6.65,"[3, 8, 9, 8, 3, 0, 3, 3, 9, 8, 9, 8, 3, 3, 3, 3, 9, 3, 9, 3, 2, 8, 3, 8, 8, 3, 3, 3, 9, 3, 8, 9, 0, 2, 3, 8, 9, 9, 2, 8, 8, 9, 9, 8, 3, 8, 3, 2, 9, 3, 8, 3, 3, 0, 3, 0, 0, 3, 9, 2, 3, 8, 2, 8, 2, 0, 3, 3, 8, 9, 3, 3, 2, 8, 3, 3, 3, 3, 3, 3, 8, 3, 9, 8, 3, 3, 8, 8, 9, 3, 3, 1, 3, 3, 3, 9, 8, 3, 8, 3, 8, 3, 3, 3, 3, 8, 3, 2, 3, 9, 3, 3, 8, 9, 3, 8, 3, 8, 9, 9, 3, 8, 8, 3, 3, 8, 3, 3, 3, 3, 3, 3, 3, 3, 8, 3, 9, 9, 8, 8, 8, 3, 8, 3, 3, 3, 8, 9, 2, 3, 8, 3, 2, 8, 2, 8, 8, 8, 2, 8, 5, 3, 8, 3, 0]"
0,[1 1 1 1 1 1 1],0,2,-6.98,"[3, 3, 8, 3, 8, 3, 2, 8, 3, 8, 8, 3, 3, 3, 8, 2, 10, 8, 9, 3, 8, 8, 3, 8, 8, 8, 8, 9, 3, 3, 3, 3, 9, 9, 3, 0, 3, 2, 9, 2, 9, 3, 9, 9, 3, 8, 3, 8, 8, 3, 5, 8, 3, 2, 3, 8, 2, 8, 3, 3, 0, 3, 3, 9, 3, 9, 3, 3, 8, 2, 9, 3, 2, 8, 8, 8, 3, 3, 3, 8, 3, 3, 9, 2, 8, 9, 8, 3, 8, 5, 3, 8, 3, 8, 8, 9, 9, 3, 8, 8, 8, 8, 3, 3, 8, 5, 3, 8, 3, 3, 3, 3, 3, 9, 3, 3, 8, 3, 8, 8, 3, 3, 8, 0, 8, 3, 3, 6, 3, 3, 2, 9, 3, 2, 3, 8, 8, 9, 3, 0, 9, 3, 3, 3, 2, 3, 9, 3, 3, 3, 3, 10, 0, 3, 9, 9, 8, 3, 9, 8, 3, 3, 3, 9, 3, 2, 8, 2, 3, 2, 2, 3, 3, 3, 3, 8, 8, 9, 3, 3, 2, 9, 3, 3, 3, 8, 3, 0, 3, 8, 8, 9, 2, 2, 8, 8, 3, 0]"
0,[1 1 1 1 1 1 1],0,5,-5.7,"[2, 8, 0, 3, 3, 8, 2, 9, 0, 3, 3, 3, 9, 8, 3, 3, 2, 0, 8, 9, 8, 2, 2, 8, 3, 2, 3, 2, 3, 8, 8, 3, 8, 3, 8, 2, 3, 2, 3, 3, 8, 2, 8, 0, 8, 8, 2, 3, 3, 0, 3, 8, 8, 3, 3, 3, 9, 3, 3, 3, 9, 9, 9, 9, 3, 0, 2, 8, 2, 0]"
0,[1 1 1 1 1 1 1],0,7,-6.87,"[8, 5, 2, 3, 3, 3, 8, 3, 0, 8, 3, 8, 3, 3, 2, 3, 2, 2, 8, 8, 8, 3, 3, 3, 3, 9, 3, 8, 3, 3, 3, 3, 3, 8, 3, 3, 8, 3, 2, 2, 3, 8, 3, 5, 8, 8, 3, 8, 3, 8, 3, 2, 8, 2, 9, 3, 3, 3, 3, 3, 8, 8, 0, 2, 8, 8, 8, 8, 8, 8, 2, 3, 2, 3, 2, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 8, 3, 8, 3, 8, 8, 3, 3, 0, 3, 8, 8, 8, 2, 8, 3, 2, 3, 8, 9, 8, 8, 9, 3, 3, 8, 8, 8, 8, 3, 8, 2, 8, 3, 9, 3, 9, 3, 3, 3, 3, 9, 2, 3, 3, 0, 3, 2, 2, 8, 3, 3, 0, 0, 8, 3, 8, 9, 9, 9, 8, 3, 9, 2, 8, 9, 3, 9, 2, 8, 3, 3, 5, 9, 3, 9, 5, 9, 9, 3, 3, 3, 8, 3, 2, 8, 3, 3, 3, 2, 8, 3, 3, 3, 8, 2, 3, 8, 3, 8, 9, 0]"
0,[1 1 1 1 1 1 1],0,8,-6.64,"[0, 9, 3, 3, 3, 2, 2, 8, 3, 8, 9, 9, 3, 3, 8, 2, 3, 8, 3, 3, 2, 2, 8, 3, 3, 9, 2, 3, 3, 8, 9, 8, 8, 8, 9, 2, 9, 2, 3, 2, 3, 2, 3, 2, 3, 8, 3, 2, 3, 9, 3, 9, 2, 3, 3, 2, 3, 3, 9, 9, 2, 9, 8, 3, 3, 9, 8, 3, 8, 8, 2, 2, 5, 8, 3, 8, 3, 3, 8, 3, 8, 3, 9, 8, 3, 8, 8, 3, 3, 9, 9, 2, 3, 2, 8, 2, 3, 9, 9, 3, 3, 8, 8, 3, 3, 3, 9, 2, 6, 9, 3, 2, 2, 3, 2, 8, 3, 0, 8, 8, 2, 3, 3, 2, 8, 2, 0, 8, 3, 0, 3, 8, 2, 3, 8, 3, 3, 8, 3, 3, 8, 2, 2, 3, 3, 3, 3, 0, 8, 2, 3, 8, 0, 3, 8, 3, 8, 3, 6, 3, 9, 8, 2, 0]"
0,[1 1 1 1 1 1 1],0,10,-6.89,"[1, 3, 3, 2, 9, 3, 3, 0, 3, 3, 8, 3, 3, 9, 3, 3, 3, 9, 3, 2, 3, 3, 3, 9, 3, 8, 3, 8, 3, 3, 2, 8, 3, 3, 3, 9, 9, 9, 3, 2, 3, 3, 9, 3, 3, 9, 3, 3, 8, 9, 9, 8, 3, 3, 3, 2, 3, 8, 3, 3, 3, 0, 3, 3, 9, 9, 9, 8, 8, 8, 3, 8, 3, 6, 3, 3, 9, 5, 9, 3, 8, 8, 8, 3, 0, 3, 8, 9, 8, 9, 8, 3, 9, 3, 2, 2, 3, 3, 3, 3, 3, 8, 3, 2, 2, 3, 0, 3, 8, 5, 9, 3, 3, 9, 3, 2, 8, 8, 8, 2, 2, 3, 9, 8, 2, 8, 8, 3, 2, 8, 3, 2, 3, 2, 8, 8, 8, 3, 3, 3, 8, 2, 3, 8, 8, 2, 3, 8, 1, 2, 3, 3, 3, 3, 2, 0, 3, 9, 3, 3, 9, 3, 3, 9, 3, 3, 9, 3, 9, 2, 2, 2, 3, 8, 8, 2, 3, 8, 3, 3, 3, 3, 3, 3, 0, 8, 8, 2, 0]"
0,[1 1 1 1 1 1 1],0,12,-6.85,"[3, 3, 3, 3, 8, 3, 3, 3, 9, 8, 8, 3, 3, 9, 9, 3, 3, 3, 9, 3, 2, 8, 3, 3, 2, 9, 5, 3, 0, 5, 3, 6, 8, 3, 8, 9, 3, 2, 9, 3, 3, 6, 8, 3, 3, 3, 3, 8, 3, 3, 3, 3, 2, 3, 3, 8, 8, 3, 3, 8, 0, 8, 2, 8, 3, 3, 3, 3, 0, 3, 8, 3, 3, 3, 3, 3, 3, 8, 3, 3, 8, 3, 2, 3, 8, 3, 8, 8, 8, 3, 8, 9, 3, 3, 2, 9, 3, 8, 3, 3, 3, 5, 8, 2, 5, 3, 3, 2, 3, 9, 3, 3, 8, 3, 3, 2, 3, 8, 2, 8, 8, 9, 8, 3, 3, 9, 2, 3, 0, 9, 5, 3, 2, 3, 3, 8, 0, 9, 3, 3, 3, 3, 3, 9, 10, 9, 5, 3, 2, 2, 3, 8, 2, 3, 3, 8, 2, 2, 3, 8, 3, 8, 3, 3, 3, 3, 2, 3, 3, 5, 8, 0, 3, 8, 8, 8, 2, 8, 3, 3, 3, 9, 8, 8, 0]"
0,[1 1 1 1 1 1 1],0,14,-6.76,"[8, 8, 8, 3, 3, 3, 8, 3, 8, 8, 3, 3, 8, 9, 3, 3, 0, 0, 3, 10, 2, 8, 8, 8, 9, 3, 8, 8, 9, 3, 3, 3, 2, 8, 9, 3, 8, 3, 8, 3, 3, 8, 3, 3, 2, 9, 3, 9, 8, 3, 3, 3, 9, 3, 3, 2, 3, 8, 8, 8, 3, 2, 8, 2, 3, 3, 8, 3, 3, 8, 0, 8, 3, 8, 9, 9, 3, 8, 3, 8, 8, 8, 2, 0, 9, 0, 3, 0, 3, 9, 3, 3, 3, 3, 3, 9, 3, 9, 3, 8, 3, 3, 3, 2, 2, 3, 8, 3, 8, 3, 3, 3, 8, 3, 3, 3, 8, 3, 8, 8, 9, 8, 3, 8, 8, 3, 8, 8, 8, 3, 3, 3, 3, 9, 3, 3, 3, 2, 9, 9, 8, 8, 3, 6, 0, 3, 3, 8, 9, 8, 3, 8, 8, 2, 8, 8, 8, 3, 3, 3, 3, 8, 9, 2, 3, 3, 9, 5, 8, 2, 9, 3, 8, 2, 2, 0]"
0,[1 1 1 1 1 1 1],0,16,-6.15,"[8, 3, 9, 2, 3, 3, 8, 2, 3, 8, 3, 8, 2, 2, 3, 3, 3, 3, 3, 8, 3, 8, 2, 0, 3, 3, 0, 8, 3, 9, 2, 8, 2, 8, 2, 2, 6, 3, 3, 8, 2, 8, 3, 2, 8, 3, 3, 3, 8, 8, 3, 3, 8, 8, 2, 8, 3, 3, 3, 8, 8, 2, 3, 9, 8, 3, 0, 9, 3, 3, 3, 8, 8, 9, 8, 0, 3, 10, 8, 9, 9, 2, 2, 0, 3, 2, 2, 3, 2, 2, 8, 2, 8, 3, 3, 8, 3, 8, 2, 8, 2, 8, 9, 3, 8, 2, 3, 8, 8, 8, 9, 8, 2, 0, 0]"
0,[1 1 1 1 1 1 1],0,17,-6.78,"[8, 8, 3, 0, 2, 3, 3, 8, 9, 8, 3, 2, 2, 3, 3, 3, 0, 3, 8, 8, 3, 3, 9, 3, 9, 8, 3, 3, 8, 8, 3, 3, 3, 3, 9, 3, 9, 3, 3, 3, 3, 3, 2, 3, 8, 2, 3, 3, 8, 0, 3, 9, 3, 9, 8, 2, 8, 3, 5, 8, 8, 8, 3, 3, 3, 9, 8, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 8, 2, 9, 2, 8, 9, 3, 8, 3, 3, 8, 3, 8, 3, 3, 8, 8, 0, 2, 3, 8, 8, 9, 3, 3, 8, 3, 9, 2, 2, 2, 8, 3, 3, 3, 9, 8, 3, 2, 3, 8, 2, 3, 0, 2, 2, 8, 8, 3, 8, 3, 3, 3, 3, 2, 3, 9, 2, 2, 3, 3, 9, 8, 3, 3, 9, 8, 3, 3, 3, 8, 3, 3, 3, 2, 9, 2, 9, 3, 9, 3, 3, 8, 3, 2, 5, 8, 3, 8, 8, 8, 9, 8, 2, 3, 2, 3, 3, 3, 0]"
