,Braid,Epoch,Step,Reward,Action_list
0,[ 2 -1 -3  4 -1  2 -4  1 -2  4 -3 -4],6,20,-0.87,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 1, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 10, 8, 5, 0, 8, 8, 8, 8, 8, 8, 8, 10, 8, 8, 8, 8, 10, 8, 8, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 9, 8, 8, 8, 10, 0, 8, 8, 8, 8, 1, 8, 10, 8, 8, 8, 8, 10, 8, 10, 8, 8, 10, 8, 9, 8, 1, 8, 1, 8, 8, 8, 8, 8, 8, 8, 8, 3, 8, 8, 8, 8, 8, 8, 8, 1, 8, 8, 8, 8, 8, 8, 10, 8, 8, 8, 8, 8, 1, 8, 0, 8, 8, 8, 8, 8, 10, 8, 8, 8, 8, 9, 8, 8, 10, 8, 8, 8, 8, 10, 8, 8, 10, 8, 8, 8, 8, 8, 10, 8, 8, 8, 8, 8, 1, 8, 8, 8, 8, 8, 8, 8, 10, 8, 8, 8, 9, 8, 8, 8, 8, 8, 8, 9, 8, 8, 8, 10, 8, 8, 8, 9, 8, 8, 8, 8, 8, 0]"
0,[ 2 -1 -3  4 -1  2 -4  1 -2  4 -3 -4],7,22,0.09,"[1, 8, 8, 8, 8, 8, 0, 1, 1, 8, 8, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 10, 8, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, 8, 8, 8, 8, 8, 8, 3, 8, 8, 8, 8, 1, 8, 8, 8, 0, 8, 8, 8, 8, 8, 8, 8, 8, 10, 8, 8, 10, 8, 8, 8, 8, 8, 8, 8, 1, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 10, 8, 8, 8, 8, 8, 8, 0]"
0,[ 2 -1 -3  4 -1  2 -4  1 -2  4 -3 -4],7,41,-0.43,"[1, 8, 9, 8, 8, 8, 8, 8, 8, 10, 9, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, 8, 8, 8, 1, 8, 8, 10, 8, 8, 8, 8, 10, 8, 8, 8, 8, 8, 10, 8, 8, 8, 8, 10, 8, 10, 8, 1, 8, 5, 10, 8, 8, 10, 0, 8, 8, 9, 8, 8, 8, 1, 8, 8, 8, 8, 8, 8, 3, 8, 8, 8, 8, 8, 8, 8, 1, 8, 8, 8, 8, 10, 8, 8, 8, 10, 8, 0, 8, 8, 8, 8, 8, 8, 10, 9, 10, 8, 2, 10, 8, 8, 8, 8, 8, 9, 8, 1, 8, 8, 8, 8, 1, 9, 8, 1, 8, 8, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 9, 8, 8, 8, 0]"
0,[ 2 -1 -3  4 -1  2 -4  1 -2  4 -3 -4],8,23,-0.93,"[1, 8, 8, 8, 8, 8, 8, 9, 8, 3, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 1, 8, 1, 8, 8, 8, 8, 8, 8, 8, 8, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 1, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 1, 10, 9, 8, 8, 8, 8, 8, 8, 8, 1, 8, 8, 8, 8, 9, 8, 9, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 1, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 1, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, 8, 8, 9, 8, 8, 8, 8, 8, 8, 8, 1, 8, 8, 8, 8, 9, 8, 8, 8, 8, 8, 8, 3, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 1, 8, 8, 1, 8, 8, 8, 9, 8, 10, 8, 9, 10, 8, 8, 8, 8, 0, 8, 0, 8, 8, 8, 8, 9, 1, 8, 0]"
0,[ 2 -1 -3  4 -1  2 -4  1 -2  4 -3 -4],8,86,-0.65,"[1, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 1, 8, 8, 8, 8, 8, 8, 8, 8, 10, 0, 8, 1, 10, 8, 8, 8, 8, 8, 8, 0, 3, 10, 8, 8, 1, 8, 8, 8, 8, 8, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 1, 8, 8, 9, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 9, 8, 8, 10, 8, 8, 1, 10, 8, 8, 8, 9, 8, 8, 8, 8, 8, 8, 8, 2, 8, 1, 8, 8, 8, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 9, 8, 8, 8, 9, 8, 8, 8, 1, 8, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 9, 8, 8, 8, 9, 8, 8, 8, 0]"
0,[ 1  2 -1  2  1  2  1  2  2  2  1 -2],10,30,-6.97,"[1, 1, 8, 8, 9, 8, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, 8, 8, 8, 8, 8, 8, 8, 1, 8, 8, 8, 8, 8, 8, 10, 8, 8, 8, 5, 8, 1, 8, 8, 8, 8, 8, 8, 8, 8, 9, 1, 1, 9, 8, 1, 8, 8, 8, 9, 8, 8, 8, 8, 8, 8, 9, 8, 8, 8, 8, 8, 8, 8, 8, 8, 1, 8, 8, 9, 9, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 9, 8, 8, 8, 1, 8, 9, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, 8, 8, 0, 8, 8, 8, 0, 8, 8, 9, 8, 9, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 1, 8, 8, 8, 8, 9, 8, 8, 8, 8, 8, 8, 10, 8, 8, 9, 8, 8, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 1, 8, 8, 8, 8, 8, 8, 9, 8, 0, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 9, 8, 8, 0]"
0,[ 1  2 -1  2  1  2  1  2  2  2  1 -2],10,65,-6.38,"[8, 0, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 10, 8, 8, 8, 8, 9, 8, 8, 8, 8, 8, 8, 10, 8, 8, 8, 8, 8, 9, 8, 8, 8, 8, 8, 9, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 9, 8, 8, 0, 9, 9, 8, 8, 8, 8, 0, 8, 9, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, 8, 8, 9, 8, 8, 8, 8, 8, 8, 8, 8, 10, 8, 8, 8, 8, 8, 8, 0, 8, 8, 8, 1, 8, 8, 8, 8, 8, 8, 1, 8, 8, 8, 8, 8, 8, 8, 9, 8, 8, 8, 8, 8, 9, 10, 8, 8, 8, 8, 8, 0, 3, 10, 8, 0]"
0,[ 1  2 -1  2  1  2  1  2  2  2  1 -2],10,94,-5.91,"[0, 8, 8, 8, 8, 10, 8, 8, 8, 8, 10, 0, 8, 0, 2, 1, 8, 8, 8, 8, 8, 10, 8, 9, 8, 8, 8, 9, 8, 10, 8, 8, 8, 8, 8, 8, 10, 8, 8, 8, 0, 8, 8, 8, 10, 8, 0, 8, 0, 8, 8, 8, 8, 10, 8, 8, 9, 8, 8, 8, 8, 8, 8, 8, 9, 8, 8, 8, 8, 8, 9, 8, 8, 8, 8, 8, 8, 8, 0, 8, 1, 1, 8, 8, 8, 9, 8, 9, 8, 8, 0]"
0,[ 1  2 -1  2  1  2  1  2  2  2  1 -2],11,4,-6.78,"[8, 8, 8, 8, 8, 8, 8, 0, 8, 8, 1, 8, 8, 8, 8, 8, 8, 8, 8, 0, 8, 9, 8, 8, 8, 8, 5, 8, 8, 8, 8, 8, 10, 8, 8, 8, 0, 8, 8, 8, 8, 8, 8, 8, 10, 8, 8, 8, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 10, 8, 8, 8, 8, 1, 8, 8, 1, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 1, 8, 8, 8, 8, 8, 8, 9, 8, 8, 8, 8, 1, 8, 8, 8, 8, 8, 8, 8, 10, 8, 8, 8, 10, 8, 8, 8, 1, 8, 8, 8, 8, 8, 1, 10, 8, 9, 8, 9, 8, 8, 8, 1, 8, 9, 8, 10, 8, 8, 1, 9, 8, 8, 8, 9, 8, 0, 8, 8, 10, 9, 8, 8, 8, 8, 8, 1, 10, 8, 8, 0, 8, 8, 8, 8, 8, 8, 9, 9, 0, 9, 8, 8, 8, 0, 8, 1, 8, 8, 8, 1, 8, 8, 8, 0]"
0,[ 1  2 -1  2  1  2  1  2  2  2  1 -2],11,60,-6.89,"[8, 8, 10, 10, 8, 8, 8, 8, 8, 8, 3, 9, 8, 8, 8, 9, 8, 8, 8, 8, 8, 8, 8, 9, 9, 9, 8, 8, 8, 8, 8, 8, 8, 8, 8, 10, 8, 8, 8, 8, 8, 8, 8, 8, 10, 8, 8, 9, 8, 8, 8, 3, 8, 8, 8, 8, 8, 8, 0, 10, 8, 8, 8, 9, 8, 1, 9, 8, 8, 8, 8, 1, 8, 8, 8, 8, 8, 10, 8, 8, 8, 10, 10, 8, 10, 8, 8, 1, 8, 8, 8, 8, 1, 8, 8, 8, 8, 8, 8, 8, 8, 9, 8, 8, 8, 10, 8, 8, 8, 8, 8, 8, 8, 9, 8, 8, 9, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, 8, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, 9, 8, 8, 8, 0, 8, 8, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, 1, 10, 8, 0, 8, 9, 8, 8, 8, 8, 9, 9, 8, 8, 0]"
